iter	Passed	Remaining
930	101926	7554
931	102084	7448
932	102139	7334
933	102292	7228
934	102449	7122
935	102501	7008
936	102559	6895
937	102706	6788
938	102732	6673
939	102780	6560
940	102875	6450
941	102981	6340
942	103080	6230
943	103163	6119
944	103217	6007
945	103368	5900
946	103525	5793
947	103614	5683
948	103641	5569
949	103786	5462
950	103826	5349
951	103847	5236
952	103911	5124
953	104005	5014
954	104056	4903
955	104079	4790
956	104126	4678
957	104205	4568
958	104256	4457
959	104274	4344
960	104302	4232
961	104314	4120
962	104329	4008
963	104352	3896
964	104373	3785
965	104386	3674
966	104404	3562
967	104422	3451
968	104438	3341
969	104453	3230
970	104466	3120
971	104475	3009
972	104485	2899
973	104509	2789
974	104521	2680
975	104571	2571
976	104583	2462
977	104595	2352
978	104607	2243
979	104626	2135
980	104641	2026
981	104665	1918
982	104696	1810
983	104728	1702
984	104775	1595
985	104795	1487
986	104810	1380
987	104825	1273
988	104858	1166
989	104875	1059
990	104912	952
991	104938	846
992	104977	740
993	105021	633
994	105044	527
995	105071	421
996	105103	316
997	105137	210
998	105173	105
999	105191	0
